"","target","Commercial_Construction_2017","Commercial_Construction_Permitted_Units_2016","Commercial_Construction_2015","Commercial_Construction_Permitted_Units_2015","Commercial_Construction_2013","Commercial_Construction_Permitted_Units_2013","Grocery_Proximate_Units_2018","Grocery_Proximate_Units_2016","Pharmacy_Proximate_Units_2016","New_Residential_Permit_Units_2016","New_Residential_2014"
"1",0.16,1.95,18,12.16,50,2.19,9,349,205,18,4,0.49
"2",0.708571428571428,14.27,142,8.56,99,12.11,140,4611,3113,4320,422,64.79
"3",-0.0142857142857143,0.3,3,0,0,0.3,1,67,52,60,4,1.52
"4",-0.00857142857142857,6.58,25,6.58,11,0.6,1,24,43,170,0,0
"5",0.0914285714285715,3.22,4,1.49,6,1.74,7,411,548,701,1,0
"6",-0.0457142857142857,8.03,30,6.02,33,3.83,21,183,200,157,4,0.73
"7",0.04,0.34,1,0.5,3,0.5,3,151,135,327,0,1.01
"8",-0.0342857142857143,1.07,3,0,0,1.07,1,282,246,304,12,8.51
"9",0.1,0.73,10,1.09,6,1.09,6,1036,1246,1365,10,1.45
"10",0.134285714285714,3.53,33,4.51,23,1.76,9,745,767,571,9,2.94
"11",-0.691428571428571,2.52,7,3.15,5,0.63,1,0,0,1257,0,0
"12",0.117142857142857,1.75,11,96.85,443,2.4,11,258,0,435,1,1.75
"13",0.0314285714285714,1.15,2,0.23,1,1.15,5,960,1010,1010,0,0
"14",0.0228571428571429,0.87,0,0.58,4,0.14,1,0,0,0,3,0.72
"15",0.0342857142857143,1.52,14,0.41,3,0.41,3,333,344,1422,0,0
"16",0.0314285714285714,7.77,36,9.02,36,15.53,62,1081,1009,1083,0,0
"17",0.0857142857142857,2.08,17,1.86,17,1.21,11,533,0,532,1,1.21
"18",0.234285714285714,7.64,11,2.23,7,1.59,5,0,0,0,1,1.91
"19",0.297142857142857,30.23,1,12.09,34,2.85,8,0,0,0,2,0
"20",-1.44,2.22,1,1.11,2,2.22,4,0,0,147,0,0
"21",-0.0942857142857143,0.15,1,0.15,1,0,0,0,296,296,11,1.53
"22",0.0371428571428571,0,1,0.18,2,0,0,140,136,0,11,0
"23",0.0171428571428572,0.31,0,0.62,2,0,0,673,674,674,0,0
"24",0.151428571428572,3.61,3,6.18,12,6.7,13,319,342,511,4,3.61
"25",-0.0828571428571429,0.24,1,0,0,0.24,1,0,0,0,1,0
"26",0.282857142857143,7.34,32,3.15,15,10.49,50,613,275,511,42,20.34
"27",0.96,61.04,12,9.21,8,12.67,11,220,220,220,0,0
"28",0.22,0.39,0,1.93,5,0,0,390,391,587,0,0
"29",-0.551428571428572,0.43,5,0.11,1,0.22,2,244,261,292,9,0.86
"30",0.0371428571428571,0.48,4,0,0,0.31,7,0,0,0,87,6.06
"31",0.00857142857142857,0.34,5,0.67,4,1.85,11,443,393,393,3,0.84
"32",0.0885714285714286,2.47,0,3.29,8,1.64,4,0,99,34,6,1.23
"33",0.271428571428571,1.49,37,1.38,26,1.06,20,332,271,216,0,0
"34",0.0314285714285714,0,1,0.15,1,0.15,1,108,112,0,8,1.79
"35",0.0457142857142857,1.15,1,1.15,4,0,0,805,767,930,18,1.15
"36",0.0885714285714286,0.32,30,4.47,14,1.92,6,198,338,354,0,0
"37",0.0857142857142857,0.85,4,0.57,2,33.78,119,28,46,46,0,0
"38",-0.137142857142857,0.84,1,6.7,24,0.56,2,390,403,403,1,1.12
"39",0.00285714285714279,0.9,1,2.69,6,1.34,3,0,2,2,1,2.69
"40",0.0428571428571429,2.49,9,2,19,0,0,44,0,39,202,3.57
"41",-0.0571428571428571,5.74,4,3.59,5,0.72,1,595,639,639,0,0
"42",0.0228571428571429,0,6,0.21,4,0.11,2,105,109,0,0,0
"43",-0.1,0.08,0,0,0,0.08,1,0,0,0,0,1.25
"44",0.0228571428571429,0.37,11,0.75,2,1.49,4,735,784,727,0,0
"45",0.24,2.48,8,4.97,14,1.06,3,0,0,0,1,12.41
"46",-0.0257142857142857,2.39,14,4.59,23,9.97,50,0,0,207,0,6.79
"47",0.0771428571428571,0.69,4,2.52,11,1.14,5,388,295,309,0,0
"48",-0.0857142857142857,2.16,26,0.84,7,1.08,9,41,5,5,1,0
"49",0.331428571428571,0.18,3,1.63,9,0.9,5,85,30,41,1,0.36
"50",0.214285714285714,1.7,6,2.39,7,3.41,10,301,337,348,0,0
"51",-0.162857142857143,1.79,5,2.98,5,4.77,8,0,0,0,0,0
"52",9.70341540760254e-18,0.46,3,5.03,11,0.92,2,260,398,432,0,0
"53",0.571428571428572,0,0,0.29,1,11.03,38,280,238,680,0,0
"54",0.0142857142857143,2.37,27,1.25,10,0.5,4,0,0,1000,0,57.8
"55",0.0285714285714286,0.33,2,0.33,1,0,0,0,3,37,0,0
"56",-0.18,0,0,0,0,0,0,0,0,0,1,0.34
"57",0.185714285714286,2.36,7,8.39,32,3.15,12,1312,794,613,0,32.46
"58",-0.108571428571429,1.39,11,1.11,4,1.39,5,0,0,0,0,0
"59",0.385714285714286,7.34,27,6.02,22,10.67,39,1353,1353,751,0,0
"60",0.0257142857142857,0,1,0,0,1.01,1,0,0,0,0,0
"61",0.08,1.84,4,2.11,8,3.42,13,555,564,482,3,1.58
"62",0.202857142857143,2.03,5,0.68,2,2.37,7,211,355,344,0,0
"63",0.0371428571428571,0,0,0.84,3,2.25,8,880,537,854,0,0
"64",0.302857142857143,2.15,39,0.69,8,1.81,21,676,549,443,54,13.33
"65",-0.14,0.39,12,0.44,18,0.25,10,51,67,19,28,0.49
"66",0.282857142857143,1.5,19,11.49,23,3.5,7,508,512,512,0,0
"67",0.0457142857142857,3.79,4,0,0,0,0,743,708,706,3,13.57
"68",0.0142857142857143,0.15,11,0.62,8,0.15,2,17,3,36,0,5.86
"69",0.0828571428571429,0.88,5,0.1,1,0.58,6,1215,1220,1316,0,0.68
"70",0.12,2.68,22,4.12,26,0.95,6,264,264,373,0,2.06
"71",0.0114285714285714,105.28,0,4.1,3,5.47,4,679,518,518,0,0
"72",0,0.87,8,1.02,7,0,0,0,0,0,0,0
"73",-0.18,0,5,1.03,2,0,0,16,11,253,0,6.74
"74",0.0742857142857143,1.34,5,0.79,3,0.53,2,589,524,524,1,55.26
"75",0.0228571428571429,0,1,0.13,3,0,0,0,0,0,1,0.08
"76",0.02,0.28,3,0.4,10,0.12,3,0,0,37,12,0.04
"77",0.14,0.73,1,0,0,0.73,2,239,276,286,0,0.36
"78",-0.02,41.39,81,134.25,133,0,0,11,0,678,0,35.35
"79",0.0142857142857143,0,0,0.42,1,0,0,0,302,227,0,0
"80",0.0257142857142857,0,1,0.8,2,0.8,2,534,51,529,0,0
"81",-0.177142857142857,0,1,0,0,0.71,2,0,0,0,0,0
"82",0.651428571428571,6.25,14,7.41,20,5.56,15,1476,1220,1344,0,16.3
"83",0.0714285714285714,2.9,25,4.78,28,1.54,9,620,620,620,0,0
"84",0.188571428571429,3.39,34,5.19,23,4.73,21,406,420,413,0,0
"85",0.294285714285714,0.83,12,1.66,12,1.38,10,288,812,900,40,11.07
"86",0.0371428571428571,0.36,1,0.37,2,0.18,1,218,66,66,33,0
"87",0.02,0.12,0,0,0,0,0,9,9,10,105,2.37
"88",0.171428571428571,1.26,0,0.25,1,1.26,5,0,0,0,0,0.25
"89",0.134285714285714,0.56,4,0.97,7,0.7,5,247,283,161,0,0
"90",0.0714285714285714,0,1,1.58,2,13.44,17,0,0,0,0,0
"91",0,1.52,24,0,0,0,0,347,269,77,0,0.51
"92",-0.157142857142857,1.49,3,0,0,0,0,0,0,0,0,0
"93",0.0285714285714286,0.9,2,7.22,16,0.45,1,111,0,40,170,64.41
"94",0.202857142857143,3.29,12,5.27,8,6.59,10,722,722,366,0,0
"95",0.174285714285714,1.25,3,0.62,1,0,0,0,416,416,0,0
"96",0.0171428571428572,0.17,0,1.05,6,0.7,4,0,0,0,0,0
"97",0.0142857142857143,0.14,2,0.07,1,0.07,1,246,251,251,2,0.07
"98",0,0,0,0,0,0,0,0,0,0,22,2.15
"99",0.0171428571428571,0,2,0.15,2,0.15,2,0,0,0,20,2.25
"100",0.16,0.3,10,0.92,6,1.22,8,0,0,0,0,0.31
"101",0.137142857142857,1.26,31,1.28,47,1.78,65,1017,796,906,40,1.37
"102",-0.02,0.2,5,0.1,1,0.1,1,318,318,318,34,3.74
"103",0.0228571428571429,0.63,1,0,0,0.31,1,0,0,0,0,2.5
"104",0.06,0,5,0.29,3,0,0,127,127,117,0,0
"105",0.0428571428571428,0.26,2,0.78,3,0.52,2,0,0,0,3,0.78
"106",-0.162857142857143,0.65,4,0.22,1,3.46,16,38,1,1,0,0.22
"107",0.26,3.67,11,1.84,13,2.83,20,734,826,635,0,0
"108",0.105714285714286,0.88,14,1.18,12,0.88,9,0,211,0,17,1.27
"109",0.0285714285714286,9.96,1,2.85,4,0,0,1,0,0,62,34.75
"110",-0.0171428571428572,0.45,2,0.89,4,0.67,3,162,650,267,0,0
"111",0,1.12,1,0,0,0.37,1,27,80,480,0,0
"112",-0.288571428571429,1.24,1,0,0,0,0,110,200,235,0,0
"113",0,0.03,2,0.08,3,0.14,5,0,0,0,39,0.17
"114",-0.0142857142857143,0,1,0.74,2,0,0,0,136,136,0,8.89
"115",0.105714285714286,5.04,5,2.52,4,1.26,2,275,578,174,1,1.89
"116",-0.0171428571428571,0.87,0,0,0,0,0,0,168,449,0,0
"117",-0.631428571428571,5.66,2,1.42,2,3.54,5,0,0,555,0,0
"118",-0.00857142857142858,0.15,1,0.15,1,0.15,1,80,26,26,8,2.32
"119",0.0714285714285714,0,2,0.47,3,0.63,4,93,90,125,0,0
"120",0.185714285714286,2.21,7,1.03,7,3.96,27,0,0,335,0,0
"121",0.0428571428571429,1.58,10,1.81,8,3.17,14,186,533,1299,5,0
"122",-0.0114285714285714,1.37,1,0,0,0.34,1,80,56,61,6,0.68
"123",-0.0228571428571429,4.89,12,0,0,0,0,509,502,502,5,6.5
"124",0.142857142857143,0.19,6,0,0,1.15,6,18,51,35,1,0
"125",0.188571428571429,0,6,0.23,1,0.69,3,365,411,411,0,0
"126",0.0257142857142857,0.17,4,0.17,1,0,0,0,465,483,18,0.17
"127",0.14,2.17,11,3.26,9,1.81,5,0,151,162,0,0.36
"128",0.0457142857142857,0.72,0,0.18,1,0.18,1,100,70,55,0,0
"129",0.117142857142857,1.31,8,3.37,18,0.75,4,148,0,0,13,0.37
"130",0.22,0.86,9,0.98,8,1.11,9,537,553,234,3,0.12
"131",0.0628571428571429,0.55,26,0.96,7,0,0,486,535,549,0,0.14
"132",0.0228571428571429,0.88,8,0.8,10,0,0,386,53,119,14,1.77
"133",-0.317142857142857,4.37,12,2.97,17,1.22,7,197,214,0,1,0
"134",0.0457142857142857,0.41,14,1.39,17,0.41,5,0,0,0,15,0.08
"135",0.0514285714285714,1.23,4,0.82,4,0.61,3,0,0,0,5,1.02
"136",-0.0142857142857143,0.77,7,1.16,9,0.64,5,0,0,0,0,0
"137",-0.0142857142857143,0.68,5,2.04,6,1.7,5,0,0,0,13,4.42
"138",0.1,0.54,3,0.54,2,0.27,1,223,142,330,0,0
"139",4.66571428571428,23.55,26,12.06,21,8.61,15,719,491,528,21,119.54
"140",0.151428571428571,2.34,39,8.88,57,2.34,15,1648,1568,1225,2,0.31
"141",-0.162857142857143,9.79,0,0,0,0.54,1,0,260,260,1,0
"142",0.0685714285714286,0.44,1,0.44,1,0.44,1,0,91,101,1,0
"143",0.0371428571428571,0.41,2,0.41,1,15.94,39,0,0,11,0,102.86
"144",0.0457142857142857,1.68,10,0.21,1,0.84,4,82,215,215,3,0
"145",-0.277142857142857,5.59,17,4.89,14,4.54,13,436,314,367,0,39.51
"146",0.151428571428571,1.91,7,1.06,10,0.53,5,72,499,430,6,0.21
"147",-0.14,1.32,1,0.26,1,0.26,1,0,0,74,1,3.95
"148",0.0257142857142857,1.2,52,1.2,38,0.41,13,17,0,181,1,0.03
"149",0.0571428571428571,0.38,0,0,0,0.38,2,0,0,0,4,0
"150",0.0371428571428572,0,1,0.21,1,0,0,306,175,326,2,0.21
"151",0.757142857142857,3.7,59,3.96,80,3.76,76,0,0,287,221,0
"152",0.0371428571428571,0.2,5,0.4,2,0.8,4,163,91,158,9,0.6
"153",0.02,0.67,12,1,3,0,0,0,0,22,0,3.34
"154",0.0514285714285714,0.1,6,0.1,1,0.29,3,560,567,574,0,0.59
"155",0.242857142857143,4.13,21,5.05,11,4.13,9,0,0,0,0,0
"156",-0.182857142857143,0.45,0,49.31,110,0,0,51,51,57,0,0.45
"157",0.0971428571428572,0.43,1,0.43,1,0,0,234,274,586,17,2.99
"158",-0.248571428571429,205.17,77,5.36,7,3.06,4,0,0,1367,0,0
"159",0.237142857142857,1.1,4,1.42,9,0.63,4,0,323,280,3,0.63
"160",0.5,2.53,3,1.92,3,3.19,5,296,312,312,0,0
"161",-0.0228571428571429,1.65,0,0.83,3,0,0,658,476,508,40,0.55
"162",0.714285714285714,4.87,3,0,0,123.04,101,400,400,400,0,0
"163",-0.00285714285714285,0.3,8,0.75,5,0.9,6,0,0,0,3,0
"164",-0.0257142857142857,2.95,20,0.29,4,0.5,7,389,302,0,78,5.97
"165",-0.22,4.26,7,0.33,1,2.29,7,335,294,365,2,0.98
"166",-0.0114285714285714,0.41,6,0.54,4,0.95,7,41,41,231,42,0.95
"167",-0.00857142857142857,0.28,0,0.18,2,2.78,31,0,0,0,3,0
"168",-0.0371428571428572,0.52,6,0.1,1,0.1,1,403,413,300,3,0.83
"169",0.06,0.63,3,0.31,1,0.31,1,0,14,3,0,0
"170",-0.0942857142857143,5.01,1,0.94,3,3.76,12,0,0,0,4,1.57
"171",0.294285714285714,2.87,16,3.13,12,1.56,6,501,542,0,0,0
"172",0.02,3.34,9,2.23,2,4.46,4,0,0,0,0,0
"173",0.00571428571428572,0.24,0,0.12,1,0.37,3,280,279,281,15,0.24
"174",0.0314285714285714,0,2,0,0,0.39,1,0,20,32,0,0
"175",-0.00285714285714286,0,2,0.19,1,0.77,4,0,0,0,44,4.03
"176",0.185714285714286,8.39,18,1.6,4,2,5,575,614,614,16,0
"177",0.0857142857142857,0,0,0.28,1,0,0,15,32,0,4,1.7
"178",-0.0685714285714286,0,0,0,0,0.73,1,413,414,400,0,0
"179",-0.0057142857142857,0,0,0.59,3,0.2,1,3,5,0,8,2.15
"180",0.0228571428571429,0.24,7,0.36,3,3.46,29,92,101,123,27,8.95
"181",0.791428571428572,19.02,8,14.98,26,4.61,8,1021,1136,1500,12,0
"182",-0.02,0.18,0,0,0,0.18,1,0,0,0,0,3.27
"183",0.431428571428571,3.93,47,3.18,17,1.87,10,236,261,265,0,0
"184",0.702857142857143,13.93,48,21.97,71,20.12,65,221,234,165,18,0
"185",-0.0457142857142857,1.95,2,0,0,0,0,233,211,206,1,4.37
"186",-0.0228571428571429,0.24,0,0.72,3,0,0,0,0,0,2,0.24
"187",0.0171428571428571,4.01,32,2.41,27,1.43,16,298,283,286,2,17.2
"188",0.0571428571428571,0.7,3,0,0,0,0,254,246,335,0,0
"189",-0.0371428571428572,0.24,1,0.47,2,1.89,8,625,642,642,2,0
"190",-0.00285714285714286,0,0,0,0,0,0,0,0,0,5,1.92
"191",0.0257142857142857,0,0,0.69,2,0.34,1,292,0,367,0,0
"192",-0.00571428571428571,1.82,5,0.26,1,0.52,2,99,196,158,0,0
"193",0.431428571428571,0.87,0,0,0,1.73,2,142,77,48,1,0.86
"194",-0.0114285714285714,0,0,0.17,1,0.17,1,0,0,0,3,0
"195",0.0142857142857143,0.12,1,0,0,0.12,1,0,0,0,0,0.24
"196",0.0142857142857143,0,1,0,0,0,0,26,49,63,94,6.39
"197",-0.102857142857143,1.46,3,0.36,1,1.08,3,0,0,0,288,0
"198",0.0685714285714286,0.56,12,1.15,14,0.25,3,665,652,652,4,1.72
"199",0.0514285714285714,5.34,8,0.85,4,0.21,1,813,464,715,63,2.78
"200",0.0971428571428571,4.99,23,3.78,25,3.48,23,453,671,0,1,0
"201",-0.0457142857142857,0.23,9,0.46,6,0.23,3,0,0,0,0,0.15
"202",0.0228571428571429,0,2,0,0,0,0,16,0,14,8,0.2
"203",0.0714285714285715,0.28,10,0.7,5,2.5,18,109,101,102,0,0.56
"204",0.0457142857142857,0.1,1,0.31,3,0.84,8,0,192,0,67,2.62
"205",0.0142857142857143,0.73,2,0,0,0,0,546,475,408,1,0
